"data","sum"
"2018-01-01 00:00:00",1897892.06275
"2018-01-02 00:00:00",5438664.0775
"2018-01-03 00:00:00",5628546.732
"2018-01-04 00:00:00",6056366.38557
"2018-01-05 00:00:00",6064083.64857
"2018-01-06 00:00:00",5576342.95547
"2018-01-07 00:00:00",5116403.28992
"2018-01-08 00:00:00",4999585.5415
"2018-01-09 00:00:00",3120811.99473
"2018-01-10 00:00:00",2863833.38373
"2018-01-11 00:00:00",3167032.94713
"2018-01-12 00:00:00",3605927.74835
"2018-01-13 00:00:00",4928899.96038
"2018-01-14 00:00:00",4961619.13029
"2018-01-15 00:00:00",2828921.0896
"2018-01-16 00:00:00",2653098.51618
"2018-01-17 00:00:00",2585126.40202
"2018-01-18 00:00:00",3199126.89922
"2018-01-19 00:00:00",3281806.03245
"2018-01-20 00:00:00",4761786.85116
"2018-01-21 00:00:00",4064597.82594
"2018-01-22 00:00:00",2173747.05355
"2018-01-23 00:00:00",1969245.7188
"2018-01-24 00:00:00",2376979.38174
"2018-01-25 00:00:00",2801529.87181
"2018-01-26 00:00:00",2932140.2215
"2018-01-27 00:00:00",4415765.01935
"2018-01-28 00:00:00",4148120.0318
"2018-01-29 00:00:00",2120599.70065
"2018-01-30 00:00:00",2223202.07162
"2018-01-31 00:00:00",2252862.05639
"2018-02-01 00:00:00",2297277.39026
"2018-02-02 00:00:00",2666015.81355
"2018-02-03 00:00:00",4195609.76493
"2018-02-04 00:00:00",3545008.22365
"2018-02-05 00:00:00",1935286.21161
"2018-02-06 00:00:00",1975535.12635
"2018-02-07 00:00:00",2021039.92777
"2018-02-08 00:00:00",2224177.28765
"2018-02-09 00:00:00",2844294.73843
"2018-02-10 00:00:00",4584271.32751
"2018-02-11 00:00:00",3916472.21709
"2018-02-12 00:00:00",2021073.64022
"2018-02-13 00:00:00",2161306.12887
"2018-02-14 00:00:00",2156071.47335
"2018-02-15 00:00:00",2226963.5489
"2018-02-16 00:00:00",2514414.35668
"2018-02-17 00:00:00",4170739.16573
"2018-02-18 00:00:00",3723033.96836
"2018-02-19 00:00:00",1881667.09235
"2018-02-20 00:00:00",2340371.97727
"2018-02-21 00:00:00",2494235.45985
"2018-02-22 00:00:00",2781969.48757
"2018-02-23 00:00:00",4173737.0628
"2018-02-24 00:00:00",3735587.29173
"2018-02-25 00:00:00",3184115.9277
"2018-02-26 00:00:00",1829332.72441
"2018-02-27 00:00:00",1859644.71445
"2018-02-28 00:00:00",2307621.69434
"2018-03-01 00:00:00",2152138.13641
"2018-03-02 00:00:00",2605508.63883
"2018-03-03 00:00:00",4724972.70341
"2018-03-04 00:00:00",4319004.43141
"2018-03-05 00:00:00",2388262.38983
"2018-03-06 00:00:00",2865661.41084
"2018-03-07 00:00:00",3123300.42909
"2018-03-08 00:00:00",5079419.45895
"2018-03-09 00:00:00",4276281.28813
"2018-03-10 00:00:00",4295866.33831
"2018-03-11 00:00:00",4008448.55171
"2018-03-12 00:00:00",2019514.77078
"2018-03-13 00:00:00",1905697.61042
"2018-03-14 00:00:00",2436910.2751
"2018-03-15 00:00:00",2391547.97061
"2018-03-16 00:00:00",2589991.65932
"2018-03-17 00:00:00",4972843.83742
"2018-03-18 00:00:00",4745732.72928
"2018-03-19 00:00:00",2104501.99505
"2018-03-20 00:00:00",2606427.88982
"2018-03-21 00:00:00",2679190.01419
"2018-03-22 00:00:00",2567047.46268
"2018-03-23 00:00:00",2960965.47376
"2018-03-24 00:00:00",5525684.28998
"2018-03-25 00:00:00",5475586.918
"2018-03-26 00:00:00",2254892.17479
"2018-03-27 00:00:00",2190669.22749
"2018-03-28 00:00:00",2299366.87599
"2018-03-29 00:00:00",2700353.87902
"2018-03-30 00:00:00",3353672.7364
"2018-03-31 00:00:00",5496125.42112
"2018-04-01 00:00:00",5127993.80027
"2018-04-02 00:00:00",2551702.47239
"2018-04-03 00:00:00",2849566.19674
"2018-04-04 00:00:00",3059628.63953
"2018-04-05 00:00:00",3530141.70445
"2018-04-06 00:00:00",3531365.18681
"2018-04-07 00:00:00",6482714.32198
"2018-04-08 00:00:00",5358982.35982
"2018-04-09 00:00:00",3238817.16173
"2018-04-10 00:00:00",3662479.04129
"2018-04-11 00:00:00",3538261.17799
"2018-04-12 00:00:00",3187975.17348
"2018-04-13 00:00:00",3725632.61049
"2018-04-14 00:00:00",6782379.3416
"2018-04-15 00:00:00",6398857.76376
"2018-04-16 00:00:00",3396451.99413
"2018-04-17 00:00:00",3169715.00473
"2018-04-18 00:00:00",3113682.25199
"2018-04-19 00:00:00",3528837.06623
"2018-04-20 00:00:00",4115348.06113
"2018-04-21 00:00:00",6411331.24022
"2018-04-22 00:00:00",6043257.14051
"2018-04-23 00:00:00",3174111.86322
"2018-04-24 00:00:00",2987698.09563
"2018-04-25 00:00:00",3382383.50564
"2018-04-26 00:00:00",3453791.13958
"2018-04-27 00:00:00",3911636.83792
"2018-04-28 00:00:00",4297495.20297
"2018-04-29 00:00:00",5820743.01343
"2018-04-30 00:00:00",5569895.13889
"2018-05-01 00:00:00",5099995.02443
"2018-05-02 00:00:00",5799480.65462
"2018-05-03 00:00:00",3536637.43991
"2018-05-04 00:00:00",3974155.44296
"2018-05-05 00:00:00",5885668.06775
"2018-05-06 00:00:00",5419062.56058
"2018-05-07 00:00:00",3685753.28953
"2018-05-08 00:00:00",3571012.7987
"2018-05-09 00:00:00",5281728.33493
"2018-05-10 00:00:00",3771941.70344
"2018-05-11 00:00:00",3943110.79379
"2018-05-12 00:00:00",6339699.80325
"2018-05-13 00:00:00",5808072.60561
"2018-05-14 00:00:00",3673345.51516
"2018-05-15 00:00:00",3825890.60785
"2018-05-16 00:00:00",3794341.79023
"2018-05-17 00:00:00",4097139.09712
"2018-05-18 00:00:00",4227829.84343
"2018-05-19 00:00:00",7273026.75918
"2018-05-20 00:00:00",6577110.21301
"2018-05-21 00:00:00",3626056.74278
"2018-05-22 00:00:00",3595502.29319
"2018-05-23 00:00:00",4176166.10835
"2018-05-24 00:00:00",4000444.91922
"2018-05-25 00:00:00",4071822.79238
"2018-05-26 00:00:00",6287732.25872
"2018-05-27 00:00:00",5451337.7144
"2018-05-28 00:00:00",3408722.17469
"2018-05-29 00:00:00",3588543.0729
"2018-05-30 00:00:00",3574849.63584
"2018-05-31 00:00:00",3439017.09939
"2018-06-01 00:00:00",3875465.79715
"2018-06-02 00:00:00",6137165.89079
"2018-06-03 00:00:00",5321355.03927
"2018-06-04 00:00:00",3116258.35304
"2018-06-05 00:00:00",3398725.99235
"2018-06-06 00:00:00",3621707.16499
"2018-06-07 00:00:00",3992987.75294
"2018-06-08 00:00:00",3523353.29114
"2018-06-09 00:00:00",3922084.91049
"2018-06-10 00:00:00",5412108.29547
"2018-06-11 00:00:00",5065995.38439
"2018-06-12 00:00:00",4713122.7816
"2018-06-13 00:00:00",3178265.23582
"2018-06-14 00:00:00",2741357.98152
"2018-06-15 00:00:00",3507909.4714
"2018-06-16 00:00:00",5335215.80141
"2018-06-17 00:00:00",4369523.91214
"2018-06-18 00:00:00",3040948.99679
"2018-06-19 00:00:00",2581048.57125
"2018-06-20 00:00:00",2891589.06402
"2018-06-21 00:00:00",8810836.20667
"2018-06-22 00:00:00",7005958.49767
"2018-06-23 00:00:00",9139146.0206
"2018-06-24 00:00:00",8694903.14637
"2018-06-25 00:00:00",4717626.69268
"2018-06-26 00:00:00",4830197.67828
"2018-06-27 00:00:00",4509649.39788
"2018-06-28 00:00:00",4723395.25208
"2018-06-29 00:00:00",4873994.47976
"2018-06-30 00:00:00",7251606.09557
"2018-07-01 00:00:00",6045496.52382
"2018-07-02 00:00:00",3922025.5735
"2018-07-03 00:00:00",4276304.08951
"2018-07-04 00:00:00",4390337.419
"2018-07-05 00:00:00",5150412.9697
"2018-07-06 00:00:00",5396130.43753
"2018-07-07 00:00:00",6597142.09723
"2018-07-08 00:00:00",6181735.66726
"2018-07-09 00:00:00",3470566.12341
"2018-07-10 00:00:00",3730796.20871
"2018-07-11 00:00:00",4174643.73709
"2018-07-12 00:00:00",4291039.21652
"2018-07-13 00:00:00",4931416.79608
"2018-07-14 00:00:00",6201346.48102
"2018-07-15 00:00:00",5033913.96701
"2018-07-16 00:00:00",3841416.52979
"2018-07-17 00:00:00",4011985.08122
"2018-07-18 00:00:00",3877168.64138
"2018-07-19 00:00:00",4053305.25111
"2018-07-20 00:00:00",4505148.76964
"2018-07-21 00:00:00",5704005.79596
"2018-07-22 00:00:00",5045910.56238
"2018-07-23 00:00:00",3263524.44608
"2018-07-24 00:00:00",3638818.80573
"2018-07-25 00:00:00",3763868.87272
"2018-07-26 00:00:00",3919991.6829
"2018-07-27 00:00:00",3908685.73783
"2018-07-28 00:00:00",4768996.77969
"2018-07-29 00:00:00",4607201.35613
"2018-07-30 00:00:00",3600718.63025
"2018-07-31 00:00:00",3578908.62858
"2018-08-01 00:00:00",3466033.41483
"2018-08-02 00:00:00",4117030.63208
"2018-08-03 00:00:00",3957167.4085
"2018-08-04 00:00:00",5439069.41357
"2018-08-05 00:00:00",4835591.96868
"2018-08-06 00:00:00",3264034.29399
"2018-08-07 00:00:00",3784954.66934
"2018-08-08 00:00:00",3808245.74753
"2018-08-09 00:00:00",3987558.11976
"2018-08-10 00:00:00",4076434.05944
"2018-08-11 00:00:00",5493940.86953
"2018-08-12 00:00:00",5543381.51701
"2018-08-13 00:00:00",3694606.19633
"2018-08-14 00:00:00",3766919.35479
"2018-08-15 00:00:00",4205868.71864
"2018-08-16 00:00:00",4349353.0095
"2018-08-17 00:00:00",4284458.66287
"2018-08-18 00:00:00",6397752.42251
"2018-08-19 00:00:00",6107034.80877
"2018-08-20 00:00:00",4524321.09524
"2018-08-21 00:00:00",4904212.11539
"2018-08-22 00:00:00",5076108.27876
"2018-08-23 00:00:00",5228824.108
"2018-08-24 00:00:00",5435251.26308
"2018-08-25 00:00:00",7608749.45615
"2018-08-26 00:00:00",6981793.86403
"2018-08-27 00:00:00",4842728.08621
"2018-08-28 00:00:00",4703068.37825
"2018-08-29 00:00:00",5206893.54417
"2018-08-30 00:00:00",5988049.0638
"2018-08-31 00:00:00",6150579.57844
"2018-09-01 00:00:00",7792753.8114
"2018-09-02 00:00:00",7906058.87714
"2018-09-03 00:00:00",4176123.15008
"2018-09-04 00:00:00",4025290.34814
"2018-09-05 00:00:00",4611184.0219
"2018-09-06 00:00:00",4535086.55913
"2018-09-07 00:00:00",4628527.27171
"2018-09-08 00:00:00",7135339.56072
"2018-09-09 00:00:00",7494902.79567
"2018-09-10 00:00:00",4472580.87672
"2018-09-11 00:00:00",5172965.23324
"2018-09-12 00:00:00",5214184.36532
"2018-09-13 00:00:00",5207276.07014
"2018-09-14 00:00:00",5547198.86467
"2018-09-15 00:00:00",8875991.52659
"2018-09-16 00:00:00",8654197.05478
"2018-09-17 00:00:00",4959819.51092
"2018-09-18 00:00:00",5253805.35603
"2018-09-19 00:00:00",5107338.95041
"2018-09-20 00:00:00",4956677.25027
"2018-09-21 00:00:00",5276257.12585
"2018-09-22 00:00:00",8580334.94538
"2018-09-23 00:00:00",9354618.60885
"2018-09-24 00:00:00",4835066.8734
"2018-09-25 00:00:00",5925683.6846
"2018-09-26 00:00:00",6390291.18404
"2018-09-27 00:00:00",5846677.01349
"2018-09-28 00:00:00",5973759.22553
"2018-09-29 00:00:00",10337173.37748
"2018-09-30 00:00:00",10080140.59088
"2018-10-01 00:00:00",5477881.71257
"2018-10-02 00:00:00",5032218.21345
"2018-10-03 00:00:00",5509082.12093
"2018-10-04 00:00:00",5471783.1289
"2018-10-05 00:00:00",6108197.08081
"2018-10-06 00:00:00",9962043.77969
"2018-10-07 00:00:00",8962641.51026
"2018-10-08 00:00:00",4756984.10143
"2018-10-09 00:00:00",5385933.49098
"2018-10-10 00:00:00",4991472.76423
"2018-10-11 00:00:00",5635931.54849
"2018-10-12 00:00:00",5727421.05013
"2018-10-13 00:00:00",9043309.0338
"2018-10-14 00:00:00",7994868.85309
"2018-10-15 00:00:00",4172922.76164
"2018-10-16 00:00:00",4912145.30694
"2018-10-17 00:00:00",4824004.78347
"2018-10-18 00:00:00",4878711.69712
"2018-10-19 00:00:00",5499904.0988
"2018-10-20 00:00:00",8447662.8635
"2018-10-21 00:00:00",8609811.59683
"2018-10-22 00:00:00",4821797.69227
"2018-10-23 00:00:00",4742828.14742
"2018-10-24 00:00:00",4895891.73466
"2018-10-25 00:00:00",5312088.92026
"2018-10-26 00:00:00",5866779.834
"2018-10-27 00:00:00",9290158.72907
"2018-10-28 00:00:00",8498950.97125
"2018-10-29 00:00:00",4629557.5562
"2018-10-30 00:00:00",5139436.49379
"2018-10-31 00:00:00",5029492.16909
"2018-11-01 00:00:00",4811303.17793
"2018-11-02 00:00:00",5799519.7209
"2018-11-03 00:00:00",8284903.98017
"2018-11-04 00:00:00",8740191.4954
"2018-11-05 00:00:00",7287876.59049
"2018-11-06 00:00:00",4295682.68713
"2018-11-07 00:00:00",4441786.21313
"2018-11-08 00:00:00",4333321.26287
"2018-11-09 00:00:00",5267327.90916
"2018-11-10 00:00:00",7968053.20226
"2018-11-11 00:00:00",8321488.16972
"2018-11-12 00:00:00",4448240.1683
"2018-11-13 00:00:00",4650534.18704
"2018-11-14 00:00:00",4102365.4265
"2018-11-15 00:00:00",4641428.50405
"2018-11-16 00:00:00",4838745.38299
"2018-11-17 00:00:00",7775383.28282
"2018-11-18 00:00:00",7353903.47974
"2018-11-19 00:00:00",3670962.61703
"2018-11-20 00:00:00",3748100.6288
"2018-11-21 00:00:00",3920191.31657
"2018-11-22 00:00:00",3949612.20792
"2018-11-23 00:00:00",15943355.74896
"2018-11-24 00:00:00",10301932.38255
"2018-11-25 00:00:00",9134985.41836
"2018-11-26 00:00:00",3758546.73617
"2018-11-27 00:00:00",4177276.94437
"2018-11-28 00:00:00",4252443.8563
"2018-11-29 00:00:00",4770938.01294
"2018-11-30 00:00:00",4778156.20145
"2018-12-01 00:00:00",7643350.02445
"2018-12-02 00:00:00",7178220.08418
"2018-12-03 00:00:00",3727035.51992
"2018-12-04 00:00:00",4206966.06108
"2018-12-05 00:00:00",4493641.69562
"2018-12-06 00:00:00",4099487.58271
"2018-12-07 00:00:00",4530931.66499
"2018-12-08 00:00:00",7530381.25729
"2018-12-09 00:00:00",6482838.50916
"2018-12-10 00:00:00",3794302.96441
"2018-12-11 00:00:00",4019583.08836
"2018-12-12 00:00:00",4390453.78342
"2018-12-13 00:00:00",4152425.15974
"2018-12-14 00:00:00",4668482.50931
"2018-12-15 00:00:00",7487315.63392
"2018-12-16 00:00:00",6758221.90141
"2018-12-17 00:00:00",3576013.61168
"2018-12-18 00:00:00",4162952.43003
"2018-12-19 00:00:00",4428906.68716
"2018-12-20 00:00:00",12287914.3494
"2018-12-21 00:00:00",10225167.27722
"2018-12-22 00:00:00",13497035.43629
"2018-12-23 00:00:00",12453589.34085
"2018-12-24 00:00:00",7695896.16208
"2018-12-25 00:00:00",8371479.86674
"2018-12-26 00:00:00",8547243.24017
"2018-12-27 00:00:00",8515048.98327
"2018-12-28 00:00:00",8968907.78618
"2018-12-29 00:00:00",10789322.43618
"2018-12-30 00:00:00",11541270.81011
"2018-12-31 00:00:00",5802634.77532
"2019-01-01 00:00:00",2336036.2676
